"fy_ef","org_id","org_name","type","description","expenditures","authorities"
"FY 2011-12",12,"Atlantic Canada Opportunities Agency","Grant","Grants to organizations to promote economic cooperation and development",360446.00,2000000.00
"FY 2011-12",12,"Atlantic Canada Opportunities Agency","Contribution","Contribution for the Innovative Communities Fund",33305911.00,49300000.00
"FY 2011-12",12,"Atlantic Canada Opportunities Agency","Contribution","Contributions for the Atlantic Innovation Fund",52891156.00,59949000.00
"FY 2011-12",12,"Atlantic Canada Opportunities Agency","Contribution","Contributions under the Atlantic Policy Research Initiatives",369595.00,700000.00
"FY 2011-12",12,"Atlantic Canada Opportunities Agency","Contribution","Contributions under the Business Development Program",128003183.00,109503405.00
"FY 2011-12",12,"Atlantic Canada Opportunities Agency","Contribution","Contributions under the Community Futures program",12641584.00,12642000.00
"FY 2011-12",12,"Atlantic Canada Opportunities Agency","Contribution","Contributions under the Recreational infrastructure Canada program",3138864.00,3375715.00
"FY 2011-12",12,"Atlantic Canada Opportunities Agency","Contribution","Contribution for the Saint John Shipyard adjustment initiative",5759381.00,6000000.00
"FY 2011-12",87,"Canadian Nuclear Safety Commission","Grant","Grants to enable the research, development and management of activities that contribute to the objectives of the Research and Support Program",73300.00,75000.00
"FY 2011-12",87,"Canadian Nuclear Safety Commission","Contribution","Contributions to enable the research, development and management of activities that contribute to the objectives of the Research and Support Program, and the Canadian Safeguards Support Program",1003463.00,1001763.00
"FY 2011-12",87,"Canadian Nuclear Safety Commission","Contribution","Participant Funding Program",86252.00,925000.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Grant","(S) Canadian Cattlemen's Association Legacy Fund",4893823.00,4893823.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Grant","(S) Class grant payments for the Farm Income program",-80733.00,-80733.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Grant","(S) Class grant payments for the Transitional Industry Support program",-63445.00,-63445.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Grant","(S) Grant payments for the AgriInvest Kickstart program",-141473.00,-141473.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Grant","(S) Grant payments for the AgriInvest program (Farm Income Protection Act)",224158458.00,224158458.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Grant","(S) Grant payments for the AgriStability program (Farm Income Protection Act)",129254806.00,129254806.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Grant","(S) Grant payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative",-1732956.00,-1732956.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Grant","(S) Grants in support of the Cost of Production Benefit",-5784.00,-5784.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Grant","(S) Grants in support of the Grain and Oilseed Payment program",-33725.00,-33725.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Grant","(S) Grants to agencies established under the Farm Products Agencies Act",0.00,600000.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Grant","Agricultural research in universities and other scientific organizations in Canada",100462.00,999000.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Grant","Grants to foreign recipients for participation in international organizations supporting agriculture",654389.00,673000.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Grant","Grant payments to the Organisation for Economic Co-operation and Development",75000.00,75000.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Class contribution payments for the Transitional Industry Support program",-48088.00,-48088.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Contribution payments for the AgriInsurance program (Farm Income Protection Act)",571643883.00,571643883.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Contribution payments for the AgriInvest Kickstart program",-395935.00,-395935.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Contribution payments for the AgriInvest program (Farm Income Protection Act)",24270703.00,24270703.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Contribution payments for the AgriStability program (Farm Income Protection Act)",160083297.00,160083297.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery (Farm Income Protection Act)",230881403.00,230881403.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative",-202916.00,-202916.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Contributions for agricultural risk management-Enhanced Spring Credit Advance program Business Risk Management",-6139593.00,-6139593.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Contributions in support of Business Risk Management programs under the Agricultural Policy Framework - Province-Based programs",-531392.00,-531392.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Contributions to a transition to future risk management programming",-44664.00,-44664.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Loan guarantees under the Canadian Agricultural Loans Act",141041.00,141041.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Payments in connection with the Agricultural Marketing Programs Act",44949155.00,44949155.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contribution payments for the control of diseases in the hog industry — Phase 2",9227859.00,15400000.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contributions in support of the Agricultural Greenhouse Gases program",3142316.00,5382000.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contributions to support the Canadian Agricultural Adaptation program",21361000.00,23944645.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Youth Employment and Skills Strategy",646313.00,864000.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Programming related to the Agricultural Flexibility Fund",41898590.00,61523345.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contributions for rural and co-operatives development",6259173.00,9347389.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contributions to support the Specified Risk Material Innovation program",16317025.00,19809106.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contribution payments for the ecoAgriculture Biofuels Capital Initiative",0.00,18026894.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contributions to enhance the safety and security of Canada's food system",15316598.00,22797890.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contributions to minimize the occurence and extent of risk incidents",21815205.00,32221915.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contributions under the Agricultural Innovation program",570019.00,7136121.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contributions to transform Canada's strengths into domestic and global success",26534322.00,27673003.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contributions to enable competitive enterprises and sectors",45860182.00,47176320.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contributions to accelerate the pace of innovation and facilitate the adoption of new technologies",49024915.00,54419680.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contributions to promote environmentally responsible agriculture",65515610.00,73129950.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Contributions in support of Business Risk Management programs under the Agricultural Policy Framework - Agriculture Policy Initiatives",-321817.00,-321817.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Payments in connection with the Farm Income Protection Act -Net Income Stabilization Account",-100533.00,-100533.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Payments in connection with the Farm Income Protection Act Crop Insurance program",-35769.00,-35769.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contributions in support of research and pilot initiatives related to the AgriInsurance program",279000.00,2000000.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contributions for the implementation of the Community Development Fund program to assist rural communities in the tobacco-growing regions of Ontario",2845682.00,2847166.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","Contributions to strengthen the competitiveness of Canada's red meat packing and processing industry",32498190.00,33696778.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Class contribution payments for the Farm Income program",-50382.00,-50382.00
"FY 2011-12",1,"Department of Agriculture and Agri-Food","Contribution","(S) Class contribution payments for repositioning of the canadian beef and cattle industry",-466711.00,-466711.00
"FY 2011-12",47,"Canada School of Public Service","Contribution","Contribute to research or activities related to the theory and practice of public sector management",169838.00,275000.00
"FY 2011-12",46,"Canada Revenue Agency","Contribution","Contributions in support of the Charities Regulatory Reform",2410496.00,3170651.00
"FY 2011-12",46,"Canada Revenue Agency","Other Transfer Payment","(S) Children's Special Allowance payments",223545787.00,223545787.00
"FY 2011-12",46,"Canada Revenue Agency","Other Transfer Payment","(S) Disbursements to provinces under the Softwood Lumber Products Export Charge Act",213871447.00,213871447.00
"FY 2011-12",46,"Canada Revenue Agency","Other Transfer Payment","(S) Payments under the Energy Costs Assistance Measures Act",1496.00,1496.00
"FY 2011-12",63,"Impact Assessment Agency of Canada","Contribution","Contribution to the Province of Quebec—James Bay and Northern Quebec Agreement",220500.00,246000.00
"FY 2011-12",63,"Impact Assessment Agency of Canada","Contribution","Contributions to support the participation of the public and Indigenous groups in impact assessment and policy dialogue, and to support the development of Indigenous knowledge and capacity related to impact assessments and related activities – Participant Funding Program, Policy Dialogue Program and Indigenous Capacity Program",2842203.00,5769000.00
"FY 2011-12",63,"Impact Assessment Agency of Canada","Contribution","Contributions to support the promotion, research and development of environmental assessments",0.00,300000.00
"FY 2011-12",239,"Office of the Chief Electoral Officer","Other Transfer Payment","(S) Quarterly allowances to registered eligible political parties and subsidies to electoral district associations for auditor's fee",30188419.00,30188419.00
"FY 2011-12",239,"Office of the Chief Electoral Officer","Other Transfer Payment","(S) Reimbursement of eligible election expenses of other general elections and by-elections, to eligible political parties and candidates",-112051.00,-112051.00
"FY 2011-12",239,"Office of the Chief Electoral Officer","Other Transfer Payment","(S) Reimbursement of eligible elections expenses to candidates for the 41st General Election",59713253.00,59713253.00
"FY 2011-12",65,"Canadian Food Inspection Agency","Contribution","(S) Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",4223367.00,4223367.00
"FY 2011-12",65,"Canadian Food Inspection Agency","Contribution","Contributions in support of the Federal Assistance Program",1176256.00,1176256.00
"FY 2011-12",65,"Canadian Food Inspection Agency","Contribution","Contributions to the provinces in accordance with the rabies indemnification regulations of the Governor in Council of amounts not exceeding two-fifths of the amounts paid by the provinces to owners of animals dying as a result of rabies infection",690.00,690.00
"FY 2011-12",65,"Canadian Food Inspection Agency","Contribution","Compensation under terms and conditions approved by the Governor in Council to owners of animals that have died as a result of anthrax",2000.00,2000.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","(S) Payments under the Lieutenant Governors Superannuation Act (R.S.C., 1985, c. L-8)",879770.00,879770.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","(S) Supplementary Retirement Benefits—Former Lieutenant Governors (Supplementary Retirement Benefits Act)",203264.00,203264.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grant to TV5 Monde",7174756.00,7449421.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grant to the Michaëlle Jean Foundation",210660.00,210660.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants in support of the Building Communities through Art and Heritage Program",9612328.00,9612338.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants in support of the Celebration and Commemoration Program",5530620.00,5583190.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants in support of the Development of Official-Language Communities Program",6029022.00,6033522.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants in support of the Enhancement of Official Languages Program",480096.00,480096.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to support the Aboriginal peoples' program",234907.00,234907.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Athlete Assistance Program",26886307.00,26900000.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Canada Arts Presentation Fund",8577635.00,8577635.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Canada Book Fund",729254.00,770104.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Canada Cultural Investment Fund",19038268.00,19038268.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Canada Cultural Spaces Fund",1553940.00,1553940.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Canada Periodical Fund",69050046.00,69681864.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Alberta",75940.00,75940.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: British Columbia",97814.00,97814.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Manitoba",73762.00,73762.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: New Brunswick",62947.00,62947.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Newfoundland and Labrador",77590.00,77590.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Nova Scotia",64199.00,64199.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Ontario",95000.00,95000.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Prince Edward Island",57071.00,57071.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Quebec",147372.00,147372.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants to the Lieutenant-Governors of the provinces of Canada toward defraying the costs incurred in the exercise of their duties: Saskatchewan",73758.00,73758.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants under the Museums Assistance Program",2368778.00,2522779.00
"FY 2011-12",122,"Department of Canadian Heritage","Grant","Grants in support of the Human rights program",59910.00,94910.00
